"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!American Indian and Alaska Native","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Native Hawaiian and Other Pacific Islander","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Some other race","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Two or more races","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children of householder under 18 years","FAMILIES!!Families!!With no own children of householder under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Married-couple families!!With own children under 18 years","FAMILIES!!Families!!Female householder, no spouse present","FAMILIES!!Families!!Female householder, no spouse present!!With own children under 18 years","FAMILIES!!Families!!Male householder, no spouse present","FAMILIES!!Families!!Male householder, no spouse present!!With own children under 18 years","FAMILY INCOME BY FAMILY SIZE","FAMILY INCOME BY FAMILY SIZE!!2-person families","FAMILY INCOME BY FAMILY SIZE!!3-person families","FAMILY INCOME BY FAMILY SIZE!!4-person families","FAMILY INCOME BY FAMILY SIZE!!5-person families","FAMILY INCOME BY FAMILY SIZE!!6-person families","FAMILY INCOME BY FAMILY SIZE!!7-or-more person families","FAMILY INCOME BY NUMBER OF EARNERS","FAMILY INCOME BY NUMBER OF EARNERS!!No earners","FAMILY INCOME BY NUMBER OF EARNERS!!1 earner","FAMILY INCOME BY NUMBER OF EARNERS!!2 earners","FAMILY INCOME BY NUMBER OF EARNERS!!3 or more earners","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone"
"        Estimate","","51,809","","63,731","61,490","78,605","50,414","-","44,188","65,880","50,707","62,507","","32,367","63,248","67,610","28,851","","60,571","62,365","57,006","75,377","91,085","39,745","37,603","57,452","32,184","","42,295","54,790","74,474","91,486","56,235","103,847","","22,250","50,585","94,975","112,847","","22,006","14,464","12,685","46,217","37,315","34,521","44,721"
"Kern County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","282,963","","147,157","16,054","4,127","13,689","N","40,901","60,549","129,846","113,792","","11,048","109,743","101,033","61,139","","207,342","103,199","104,143","137,887","63,568","46,693","27,861","22,762","11,770","","71,567","48,604","39,595","24,690","13,854","9,032","","33,551","78,383","67,079","28,329","","75,621","40,616","32,920","7,696","35,005","27,922","7,083"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","282,963","","52.0%","5.7%","1.5%","4.8%","N","14.5%","21.4%","45.9%","40.2%","","3.9%","38.8%","35.7%","21.6%","","207,342","49.8%","50.2%","66.5%","30.7%","22.5%","13.4%","11.0%","5.7%","","34.5%","23.4%","19.1%","11.9%","6.7%","4.4%","","16.2%","37.8%","32.4%","13.7%","","75,621","53.7%","43.5%","10.2%","46.3%","36.9%","9.4%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","58,217","","63,637","40,038","66,409","79,347","N","51,066","52,288","51,405","69,635","","40,633","61,497","71,567","42,863","","64,691","55,861","70,933","82,489","82,281","35,313","30,911","50,309","43,100","","54,086","65,786","76,784","58,590","61,694","104,820","","27,999","46,844","92,882","113,524","","35,396","33,162","26,822","54,202","37,567","32,753","64,803"
"Kings County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","43,143","","19,792","N","N","N","N","10,517","8,127","21,713","16,588","","2,316","17,987","13,384","9,456","","34,497","N","N","N","N","N","N","N","N","","12,777","5,352","7,959","5,110","1,911","1,388","","5,162","13,421","12,850","3,064","","8,646","4,030","3,353","677","4,616","3,245","1,371"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","43,143","","45.9%","N","N","N","N","24.4%","18.8%","50.3%","38.4%","","5.4%","41.7%","31.0%","21.9%","","34,497","N","N","N","N","N","N","N","N","","37.0%","15.5%","23.1%","14.8%","5.5%","4.0%","","15.0%","38.9%","37.2%","8.9%","","8,646","46.6%","38.8%","7.8%","53.4%","37.5%","15.9%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","62,155","","74,863","57,895","N","83,475","-","54,569","59,883","56,240","73,643","","48,764","62,963","76,645","51,039","","64,683","58,750","73,454","82,496","80,193","32,522","23,217","59,051","58,248","","60,101","59,964","74,113","62,016","54,434","115,417","","28,905","49,899","86,189","126,563","","39,331","36,037","35,663","56,685","43,767","32,231","57,206"
"Lake County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","27,472","","20,647","N","N","N","N","N","N","N","19,694","","1,020","6,909","8,983","10,560","","17,597","N","N","N","N","N","N","N","N","","8,816","4,096","3,352","435","733","165","","3,771","5,628","6,906","1,292","","9,875","5,060","4,161","899","4,815","4,051","764"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","27,472","","75.2%","N","N","N","N","N","N","N","71.7%","","3.7%","25.1%","32.7%","38.4%","","17,597","N","N","N","N","N","N","N","N","","50.1%","23.3%","19.0%","2.5%","4.2%","0.9%","","21.4%","32.0%","39.2%","7.3%","","9,875","51.2%","42.1%","9.1%","48.8%","41.0%","7.7%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","61,221","","62,443","65,238","N","-","-","47,595","62,630","49,922","62,475","","75,309","64,220","61,801","52,944","","74,707","66,800","76,771","83,226","70,625","61,232","91,984","74,605","31,610","","77,082","60,561","72,133","128,703","48,836","88,365","","52,170","65,969","76,203","105,581","","28,988","27,663","16,965","68,840","29,663","27,222","68,012"
"Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,375,587","","1,247,262","307,097","47,661","518,087","7,369","682,789","565,322","1,321,294","1,103,193","","84,147","1,193,533","1,314,154","783,753","","2,217,649","873,231","1,344,418","1,465,759","580,815","498,153","201,834","253,737","90,582","","817,582","523,991","463,486","237,529","96,750","78,311","","274,958","720,538","857,884","364,269","","1,157,938","603,173","476,048","127,125","554,765","396,709","158,056"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,375,587","","36.9%","9.1%","1.4%","15.3%","0.2%","20.2%","16.7%","39.1%","32.7%","","2.5%","35.4%","38.9%","23.2%","","2,217,649","39.4%","60.6%","66.1%","26.2%","22.5%","9.1%","11.4%","4.1%","","36.9%","23.6%","20.9%","10.7%","4.4%","3.5%","","12.4%","32.5%","38.7%","16.4%","","1,157,938","52.1%","41.1%","11.0%","47.9%","34.3%","13.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","77,456","","92,348","51,841","73,385","90,448","79,729","62,448","74,207","66,929","95,193","","41,592","83,939","86,620","56,528","","87,562","83,235","90,029","107,007","111,882","52,853","36,465","64,088","48,663","","76,329","83,394","101,046","95,405","97,242","119,305","","31,035","60,162","112,480","129,081","","51,570","45,892","35,638","87,844","58,527","43,808","96,806"
"Madera County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","44,048","","21,486","N","N","N","N","11,473","7,873","20,552","19,092","","977","12,437","17,249","13,385","","32,913","12,867","20,046","21,209","7,524","7,893","3,586","3,811","1,757","","12,594","7,660","5,949","3,751","1,497","1,462","","5,964","10,583","11,898","4,468","","11,135","5,929","4,865","1,064","5,206","3,854","1,352"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","44,048","","48.8%","N","N","N","N","26.0%","17.9%","46.7%","43.3%","","2.2%","28.2%","39.2%","30.4%","","32,913","39.1%","60.9%","64.4%","22.9%","24.0%","10.9%","11.6%","5.3%","","38.3%","23.3%","18.1%","11.4%","4.5%","4.4%","","18.1%","32.2%","36.1%","13.6%","","11,135","53.2%","43.7%","9.6%","46.8%","34.6%","12.1%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","63,454","","74,723","11,579","137,746","113,879","-","41,773","55,830","50,659","74,974","","52,004","61,470","73,820","53,108","","72,733","56,386","81,807","88,471","76,525","49,381","48,333","48,800","27,813","","71,000","66,017","100,942","67,756","43,668","89,146","","37,683","51,124","94,767","119,778","","25,790","23,068","17,686","71,332","27,953","28,628","26,909"
"Marin County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","103,378","","82,207","N","N","N","N","N","N","10,765","80,125","","783","20,937","42,191","39,467","","63,928","24,210","39,718","51,034","19,085","8,674","3,499","4,220","1,626","","33,112","13,230","12,280","3,416","1,343","547","","9,123","21,083","28,225","5,497","","39,450","24,289","19,922","4,367","15,161","10,749","4,412"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","103,378","","79.5%","N","N","N","N","N","N","10.4%","77.5%","","0.8%","20.3%","40.8%","38.2%","","63,928","37.9%","62.1%","79.8%","29.9%","13.6%","5.5%","6.6%","2.5%","","51.8%","20.7%","19.2%","5.3%","2.1%","0.9%","","14.3%","33.0%","44.2%","8.6%","","39,450","61.6%","50.5%","11.1%","38.4%","27.2%","11.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","118,209","","130,082","N","230,755","122,444","-","64,871","106,612","76,487","131,427","","78,815","152,253","149,063","89,107","","165,271","224,163","144,442","194,950","250,000+","78,510","37,281","115,655","110,379","","138,086","173,249","250,000+","250,000+","163,528","88,125","","81,435","140,197","219,855","250,000+","","72,901","58,576","46,577","143,233","93,734","76,600","124,573"
"Mendocino County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","34,273","","25,548","N","N","N","N","N","N","N","25,032","","525","9,198","11,673","12,877","","20,232","N","N","N","N","N","N","N","N","","9,987","4,697","2,996","1,288","899","365","","4,651","7,594","5,908","2,079","","14,041","7,811","6,727","1,084","6,230","4,835","1,395"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","34,273","","74.5%","N","N","N","N","N","N","N","73.0%","","1.5%","26.8%","34.1%","37.6%","","20,232","N","N","N","N","N","N","N","N","","49.4%","23.2%","14.8%","6.4%","4.4%","1.8%","","23.0%","37.5%","29.2%","10.3%","","14,041","55.6%","47.9%","7.7%","44.4%","34.4%","9.9%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","59,444","","67,595","-","N","N","-","N","52,537","N","64,760","","12,335","77,215","66,709","47,991","","79,933","72,351","83,193","89,178","87,534","44,952","24,246","101,233","121,116","","61,439","102,803","79,849","85,578","150,464","133,872","","39,913","55,810","113,611","140,160","","37,318","35,227","29,558","79,907","41,189","29,965","67,681"
"Merced County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","84,967","","32,694","N","N","5,440","N","32,625","9,266","45,214","28,192","","2,998","30,613","30,524","20,832","","64,369","33,023","31,346","40,530","20,321","17,492","8,876","6,347","3,826","","18,958","14,223","14,934","9,197","4,556","2,501","","12,220","23,733","20,587","7,829","","20,598","10,428","8,813","1,615","10,170","7,921","2,249"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","84,967","","38.5%","N","N","6.4%","N","38.4%","10.9%","53.2%","33.2%","","3.5%","36.0%","35.9%","24.5%","","64,369","51.3%","48.7%","63.0%","31.6%","27.2%","13.8%","9.9%","5.9%","","29.5%","22.1%","23.2%","14.3%","7.1%","3.9%","","19.0%","36.9%","32.0%","12.2%","","20,598","50.6%","42.8%","7.8%","49.4%","38.5%","10.9%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","53,992","","54,447","N","51,083","77,652","-","52,614","55,412","52,236","55,077","","46,772","60,986","59,150","34,224","","60,114","60,152","60,019","73,312","76,561","36,096","22,860","44,367","42,821","","51,707","50,441","69,582","62,356","89,567","71,331","","18,321","46,496","78,963","108,098","","31,928","29,475","23,005","66,076","34,647","28,510","65,283"
"Monterey County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","133,224","","60,180","N","N","9,119","N","44,355","15,623","63,126","54,575","","3,477","44,809","48,089","36,849","","95,842","43,209","52,633","66,178","28,334","19,744","10,155","9,920","4,720","","36,152","17,867","19,028","10,754","6,743","5,298","","13,280","28,391","38,258","15,913","","37,382","21,359","17,644","3,715","16,023","10,233","5,790"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","133,224","","45.2%","N","N","6.8%","N","33.3%","11.7%","47.4%","41.0%","","2.6%","33.6%","36.1%","27.7%","","95,842","45.1%","54.9%","69.0%","29.6%","20.6%","10.6%","10.4%","4.9%","","37.7%","18.6%","19.9%","11.2%","7.0%","5.5%","","13.9%","29.6%","39.9%","16.6%","","37,382","57.1%","47.2%","9.9%","42.9%","27.4%","15.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","82,163","","94,055","72,827","80,985","85,364","N","73,558","88,171","75,340","98,176","","51,005","85,429","96,951","64,237","","89,478","80,039","102,098","112,045","101,506","54,837","42,677","70,576","52,180","","87,582","88,295","85,186","85,264","103,175","118,985","","50,325","70,391","102,276","133,587","","54,320","45,317","40,388","85,259","67,509","49,358","81,953"
"Napa County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","49,979","","34,475","N","N","N","N","N","6,400","12,202","31,992","","1,257","14,180","18,798","15,744","","33,951","13,705","20,246","26,129","9,583","4,166","1,930","3,656","2,192","","15,782","6,328","6,410","3,340","1,560","531","","5,149","10,367","12,911","5,524","","16,028","10,797","8,426","2,371","5,231","4,004","1,227"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","49,979","","69.0%","N","N","N","N","N","12.8%","24.4%","64.0%","","2.5%","28.4%","37.6%","31.5%","","33,951","40.4%","59.6%","77.0%","28.2%","12.3%","5.7%","10.8%","6.5%","","46.5%","18.6%","18.9%","9.8%","4.6%","1.6%","","15.2%","30.5%","38.0%","16.3%","","16,028","67.4%","52.6%","14.8%","32.6%","25.0%","7.7%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","97,213","","97,753","N","N","137,288","-","87,493","95,553","85,376","98,875","","43,855","96,921","125,960","80,610","","115,538","97,186","124,064","126,039","126,033","69,333","53,287","72,483","51,656","","110,037","111,792","134,139","106,895","115,846","250,000+","","83,672","85,125","138,878","134,921","","54,840","49,940","40,728","113,605","70,026","54,609","168,175"
"Nevada County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","42,679","","36,897","N","N","N","N","N","N","N","36,065","","1,259","8,980","16,052","16,388","","25,873","N","N","N","N","N","N","N","N","","14,935","5,216","3,935","1,193","208","386","","6,905","7,218","10,550","1,200","","16,806","8,551","6,489","2,062","8,255","5,314","2,941"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","42,679","","86.5%","N","N","N","N","N","N","N","84.5%","","2.9%","21.0%","37.6%","38.4%","","25,873","N","N","N","N","N","N","N","N","","57.7%","20.2%","15.2%","4.6%","0.8%","1.5%","","26.7%","27.9%","40.8%","4.6%","","16,806","50.9%","38.6%","12.3%","49.1%","31.6%","17.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","79,519","","77,029","-","-","145,248","-","N","96,968","69,871","78,452","","31,001","99,136","95,780","62,718","","100,312","116,373","90,906","108,783","141,128","50,542","58,776","31,782","31,175","","88,930","109,609","131,856","71,873","131,523","146,944","","64,405","73,563","141,304","146,061","","42,155","37,134","28,692","82,828","56,460","30,647","99,090"
"Orange County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,077,193","","561,506","19,271","8,171","228,557","N","118,524","137,490","271,489","518,937","","24,646","343,474","433,772","275,301","","762,960","305,196","457,764","576,804","231,839","126,071","52,770","60,085","20,587","","297,637","172,337","165,730","73,186","31,526","22,544","","96,086","224,964","314,097","127,813","","314,233","171,692","131,011","40,681","142,541","99,683","42,858"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,077,193","","52.1%","1.8%","0.8%","21.2%","N","11.0%","12.8%","25.2%","48.2%","","2.3%","31.9%","40.3%","25.6%","","762,960","40.0%","60.0%","75.6%","30.4%","16.5%","6.9%","7.9%","2.7%","","39.0%","22.6%","21.7%","9.6%","4.1%","3.0%","","12.6%","29.5%","41.2%","16.8%","","314,233","54.6%","41.7%","12.9%","45.4%","31.7%","13.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","100,559","","108,332","88,536","81,025","103,291","68,226","75,885","92,563","81,606","110,482","","52,758","106,747","117,893","74,048","","113,908","113,025","114,474","133,474","138,601","68,060","46,748","77,959","62,480","","102,320","113,262","135,459","117,126","119,022","122,076","","52,060","86,000","140,043","148,393","","63,192","55,520","46,108","97,409","74,541","59,174","104,988"
"Placer County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","155,945","","118,948","N","N","11,758","N","7,606","14,562","18,922","114,873","","2,565","44,893","58,884","49,603","","111,725","46,315","65,410","91,753","36,893","13,279","6,032","6,693","3,390","","51,577","22,825","23,831","9,638","2,630","1,224","","21,267","34,998","43,608","11,852","","44,220","25,328","21,476","3,852","18,892","13,836","5,056"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","155,945","","76.3%","N","N","7.5%","N","4.9%","9.3%","12.1%","73.7%","","1.6%","28.8%","37.8%","31.8%","","111,725","41.5%","58.5%","82.1%","33.0%","11.9%","5.4%","6.0%","3.0%","","46.2%","20.4%","21.3%","8.6%","2.4%","1.1%","","19.0%","31.3%","39.0%","10.6%","","44,220","57.3%","48.6%","8.7%","42.7%","31.3%","11.4%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","103,659","","104,955","115,366","115,893","125,449","-","63,801","94,380","89,214","104,988","","37,170","121,641","125,974","68,339","","119,835","130,169","112,688","131,925","154,680","75,253","60,329","88,422","97,582","","100,965","121,986","160,160","136,931","146,167","219,367","","69,339","99,038","156,512","184,005","","54,476","45,505","42,304","70,367","68,897","54,523","125,297"
"Riverside County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","765,673","","354,463","50,994","8,186","48,918","N","171,669","128,046","315,389","321,648","","13,310","249,425","295,636","207,302","","574,441","243,811","330,630","414,272","171,252","109,513","50,594","50,656","21,965","","216,875","117,424","117,163","69,920","27,698","25,361","","89,565","189,972","206,221","88,683","","191,232","98,951","81,524","17,427","92,281","68,662","23,619"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","765,673","","46.3%","6.7%","1.1%","6.4%","N","22.4%","16.7%","41.2%","42.0%","","1.7%","32.6%","38.6%","27.1%","","574,441","42.4%","57.6%","72.1%","29.8%","19.1%","8.8%","8.8%","3.8%","","37.8%","20.4%","20.4%","12.2%","4.8%","4.4%","","15.6%","33.1%","35.9%","15.4%","","191,232","51.7%","42.6%","9.1%","48.3%","35.9%","12.4%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","79,024","","81,898","72,465","78,514","93,213","N","70,533","79,687","73,561","81,596","","51,775","83,711","94,797","55,608","","87,589","82,423","90,721","100,911","103,050","52,973","36,432","68,465","54,449","","75,602","82,101","96,820","102,860","109,012","115,794","","48,669","65,602","105,230","132,520","","41,146","35,950","31,009","82,164","47,910","37,783","90,739"
"Sacramento County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","571,949","","305,091","56,768","5,246","83,451","4,763","52,446","64,184","109,076","287,534","","16,065","210,579","209,451","135,854","","371,542","160,302","211,240","263,975","112,020","70,802","32,397","36,765","15,885","","150,506","81,249","71,324","37,135","17,747","13,581","","53,841","119,345","143,979","54,377","","200,407","111,409","85,643","25,766","88,998","62,698","26,300"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","571,949","","53.3%","9.9%","0.9%","14.6%","0.8%","9.2%","11.2%","19.1%","50.3%","","2.8%","36.8%","36.6%","23.8%","","371,542","43.1%","56.9%","71.0%","30.2%","19.1%","8.7%","9.9%","4.3%","","40.5%","21.9%","19.2%","10.0%","4.8%","3.7%","","14.5%","32.1%","38.8%","14.6%","","200,407","55.6%","42.7%","12.9%","44.4%","31.3%","13.1%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","80,063","","84,167","57,852","76,909","90,217","86,204","66,246","81,034","71,698","85,337","","44,663","86,319","92,530","58,302","","94,655","90,621","98,149","110,216","111,388","55,467","41,468","71,145","70,187","","85,098","94,904","106,903","102,565","92,842","110,394","","50,639","66,841","117,307","135,683","","52,032","47,117","40,020","78,369","57,892","49,762","91,017"
"San Benito County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","20,307","","9,879","N","N","N","N","N","5,776","10,588","8,686","","N","N","N","N","","15,609","N","N","N","N","N","N","N","N","","4,242","4,293","2,990","2,241","1,231","612","","1,773","4,036","5,666","4,134","","4,698","2,565","1,946","619","2,133","1,862","271"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","20,307","","48.6%","N","N","N","N","N","28.4%","52.1%","42.8%","","N","N","N","N","","15,609","N","N","N","N","N","N","N","N","","27.2%","27.5%","19.2%","14.4%","7.9%","3.9%","","11.4%","25.9%","36.3%","26.5%","","4,698","54.6%","41.4%","13.2%","45.4%","39.6%","5.8%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
